shop_name,goods_name,loc,prices,sum_body
a13785131101,MAC魅可口红小辣椒602泫雅牛血哑光正红316/707脏橘蜜桃奶茶色314,广东 ,66.8,10000.0
波总大发行,传奇今生红樱桃唇膏官方旗舰正品官网专柜滋润保湿健康变色女,广东 ,69.0,10000.0
聚星美发1,Dior迪奥口红新款女哑光999缎光888丝绒520礼盒装772大牌正品免税,广东 ,100.0,5500.0
铂歌化妆品专营店,colorkey唇釉珂拉琪空气丝绒雾镜面哑光口红小众品牌女学生款平价,安徽 ,59.0,40000.0
聚星美发1,兰蔻口红196胡萝卜色黑管哑光505丝绒雾面888金管274大牌正品免税,广东 ,105.0,5500.0
卡姿兰丽尚专卖店,卡姿兰口红大牌正品小众品牌女学生款套装礼盒不掉色不沾杯不脱色,广东 ,89.0,6500.0
yunhao831,兰蔻196口红胡萝卜色大牌正品505 888 525 274 288宝石02专柜礼盒,广东 ,179.0,3589.0
乐淘小栈88,Armani阿玛尼口红唇釉405烂番茄色415哑光205大牌正品红管丝绒206,广东 ,148.0,5500.0
小脚丫丫_2007,玫瑰花礼盒正品迪奥口红缎光999哑光正红740烂番茄唇膏888滋润520,广东 ,175.0,6000.0
site旗舰店,SIT.E 先锋系列烟管唇粉 哑光口红大牌正品不掉色不沾杯不脱色,上海,240.0,5000.0
郑伟立201,Armani阿玛尼唇釉206 415红管口红405g番茄红500 201 400黑管402,广东 ,123.0,15000.0
法兰释企业店铺,MAC魅可磨砂316chili小辣椒646脏橘色牛血色923大牌唇膏正品,上海,108.9,6500.0
旺仔旺遍天下,dior迪奥口红999正品经典红080哑光限量版888滋润520大牌礼盒装,广东 ,138.0,10000.0
joocyee旗舰店,Joocyee酵色太妃糖水波口红滋润哑光显白不掉色平价学生女品牌,上海,89.0,25000.0
稚优泉化妆品旗舰店,稚优泉奶霜唇釉唇泥哑光口红显白小众品牌女唇彩学生款平价夏天,上海,69.9,50000.0
chanel香奈儿官方旗舰店,【官方正品】CHANEL香奈儿可可小姐炫光唇膏 coco滋润92 70,浙江 ,340.0,
chanel香奈儿官方旗舰店,【官方正品】CHANEL 香奈儿魅力炫光唇釉黑管镜面礼盒75 72,浙江 ,340.0,
dior迪奥官方旗舰店,【官方正品】全新Dior迪奥烈艳蓝金唇膏口红 新色丝绒999720,上海,350.0,35000.0
perfectdiary旗舰店,完美日记小细跟口红周迅同款哑光丝绒唇膏唇釉女小众品牌豆沙色,广东 ,89.9,200000.0
3ce官方旗舰店,【官方正品】3CE哑光口红 吃土南瓜胡萝卜220脏橘 辣椒红唇膏,江苏 ,125.0,35000.0
givenchy纪梵希官方旗舰店,【官方正品】GIVENCHY纪梵希小羊皮口红半哑光唇膏333 306正品,上海,360.0,2297.0
3ce官方旗舰店,【官方正品】3CE哑光口红 吃土南瓜脏橘色220 韩国,江苏 ,125.0,60000.0
ysl圣罗兰美妆官方旗舰店,正品 YSL圣罗兰小金条口红 哑光新色1966红棕色复古红21胡萝卜28,江苏 ,350.0,5000.0
perfectdiary旗舰店,完美日记小黑钻口红不掉色哑光小众品牌保湿滋润唇膏女学生226,广东 ,59.9,60000.0
ysl圣罗兰美妆官方旗舰店,YSL圣罗兰方管口红滋润 1966红棕色157赤豆沙滋润持久自然缎光,江苏 ,335.0,10000.0
tomford汤姆福特旗舰店,【官方正品】TOM FORD 唇膏 TF口红 细白管03 108 tf白管 04,上海,450.0,1581.0
关广明2464,Chanel香奈儿口红哑光58丝绒coco116炫亮唇膏山茶花正品57#礼盒装,天津,228.0,3181.0
秋日落叶mmm,正品Armani/阿玛尼口红405#400挚爱哑光唇膏406#402#201套装礼盒,上海,138.0,2818.0
weeyee88,tf口红16号色黑管哑光唇膏80#15#100#08白细管03限量银管07礼盒装,上海,226.0,2330.0
浪漫玫瑰园999,Dior迪奥口红999哑光丝绒新款烈焰蓝金唇膏滋润888#520#772礼盒装,上海,138.0,2190.0
tina拍拍66,兰蔻196口红胡萝卜色黑管菁纯丝绒雾面唇膏磨砂专柜大牌正品女888,广东 ,145.0,3624.0
joocyee旗舰店,Joocyee酵色琥珀哑光雾面唇釉唇泥口红慕斯学生款豆沙色小众品牌,上海,79.0,60000.0
阿飞_1219,古驰Gucci金管505小碎花口红25限定唇膏哑光203 208 504 506 509,天津,150.0,2569.0
诚信小店v10086,Dior迪奥口红女哑光999滋润080专柜大牌正品888丝绒520礼盒装772,广东 ,120.0,3222.0
raye_mama,into you唇泥马利联名女主角水雾唇釉口红EM23哑光08礼盒12旗舰店,上海,39.0,30000.0
13237776707a,兰蔻口红888小野莓粉金管196 274 525 278胡萝卜色菁纯唇膏礼盒装,上海,156.0,2291.0
13237776707a,香奈儿唇釉154#836魅力印记哑光口红新品炫光黑管75#74礼盒装,上海,168.0,1663.0
hzzgjmj,【四冠卖家】Tom Ford汤姆福特tf口红16 15 08 80黑白管滋润,广东 ,158.0,1770.0
dior迪奥官方旗舰店,【官方正品】全新Dior迪奥烈艳蓝金唇膏口红 新色丝绒999720,上海,350.0,35000.0
佰鲜集旗舰店,变色口红女保湿滋润唇膏补水不掉色不沾杯不脱色防水胡萝卜素樱桃,广东 ,29.9,15000.0
栀尚旗舰店,栀尚化学元素唇泥丝绒雾面哑光唇颊两用唇彩蜜唇釉学生款平价,广东 ,19.9,4160.0
c136287210,Dior迪奥口红999哑光滋润正红唇膏740送永生花礼盒套装大牌正品,广东 ,348.0,1207.0
中国制造_888,Dior迪奥口红情人节520礼盒999滋润哑光丝绒礼物套装大牌官方正品,广东 ,198.0,2986.0
lisa0422,MAC魅可口红小辣椒602/316/108/707/646/314磨砂923正品大牌chili,广东 ,69.9,10000.0
ruianljr,Chanel香奈儿口红哑光58丝绒大牌正品56唇膏女627山茶花礼盒小样,广东 ,149.0,7000.0
简单小豆,阿玛尼唇釉红管405烂番茄色415哑光大牌口红正品丝绒205,广东 ,118.0,3127.0
摩本文具,Dior迪奥口红新款999哑光滋润丝绒888/080唇膏大牌正品送专柜礼盒,上海,128.0,10000.0
mac魅可官方旗舰店,【官方正品】MAC/魅可柔雾唇釉雾面哑光夏天口红女唇彩991/982,浙江 ,210.0,25000.0
intoyou旗舰店,INTOYOU唇泥 空气雾面唇蜜唇釉哑光口红持久平价学生女小众品牌,浙江 ,59.0,100000.0
radiorose化妆品旗舰店,正品ΙYSL大牌口红小金条N12杨树林唇釉套装定制礼盒限量细管方管,湖南 ,138.0,3284.0
pinkbear旗舰店,PINKBEAR皮可熊琉光镜面水唇釉小布丁口红女学生唇蜜官方持久正品,广东 ,59.0,200000.0
zhs252898484,圣罗兰新YSL小金条口红21小银条哑光方管杨树林唇膏礼盒大牌正品,上海,145.0,2175.0
lhkg旗舰店,TF口红大牌正品哑光丝绒唇膏80红棕黑管16小众品牌礼盒套装旗舰店,广东 ,138.0,2428.0
京东步行街2013,官方Dior迪奥口红999大牌变色唇膏正品888 740 520限量版礼盒套装,浙江 ,258.0,1766.0
仙凡果果,传奇今生红樱桃唇膏官方旗舰官网正品专柜保湿滋润健康变色女,广东 ,62.0,4995.0
zllovegyww,MAC魅可口红磨砂316柔雾小辣椒牛血色646脏橘色923 唇膏正品,广东 ,89.0,4719.0
欧莱雅官方旗舰店,欧莱雅彩妆纷泽唇膏新年开挂红小妖金小黑管豆沙色滋润正品,江苏 ,135.0,4342.0
欧莱雅彩妆官方旗舰店,欧莱雅黑管666开挂红正红色显白口红持久女唇膏317奶茶色官方正品,江苏 ,135.0,10000.0
mac魅可官方旗舰店,【官方正品】MAC/魅可尤雾弹口红唇膏哑光大牌女 316/923/豆沙色,浙江 ,180.0,60000.0
始于花末还未终,现货！顺丰CL萝卜丁口红女王权杖黑管哑光001M 502 006唇膏礼盒装,浙江 ,348.0,989.0
欧莱雅彩妆官方旗舰店,欧莱雅初吻小钢笔唇釉雾面镜面不脱色显白口红唇蜜唇彩223官方,江苏 ,145.0,10000.0
hedonefashionsnobs旗舰店,【新色上市】HEDONE内心戏镜面唇釉水光唇蜜口红片刻软语标准雀跃,上海,89.0,50000.0
雅诗兰黛官方旗舰店,雅诗兰黛口红倾慕哑光唇膏 333干枫叶557焦糖烤栗 持久保湿不掉色,上海,280.0,1723.0
tomford汤姆福特旗舰店,【官方正品】TOM FORD唇膏 TF口红细黑管26 27 16 滋润 复古,上海,450.0,1586.0
柏翠丽晶,colorkey珂拉琪空气唇釉丝绒水光镜面小众品牌口红联名colourkey,广东 ,59.0,20000.0
夜雨行123,Dior/迪奥口红新款哑光999滋润888丝绒772/840唇膏大牌正品礼盒装,浙江 ,115.0,2206.0
京都shop,romand果汁唇釉镜面水光12口红20雾面显白18夏天哑光透明唇蜜06女,河北 ,54.0,15000.0
小野拓司旗舰店,不打丰唇针！日本小野拓司嘟嘟唇·丰唇精华 唇蜜唇釉 淡唇纹,上海,358.0,560.0
雅诗兰黛官方旗舰店,雅诗兰黛金管口红细金唇膏 保湿显白持久显色914波子杨梅官方正品,上海,280.0,2388.0
米拉诺米,阿玛尼唇釉206口红405烂番茄205黑415红管208大牌400正品402 209,广东 ,200.0,1934.0
lhkg旗舰店,正品大牌IT-MAC口红七夕限定316小辣椒哑光不沾杯小众品牌礼盒装,广东 ,138.0,2897.0
chanel香奈儿官方旗舰店,【官方正品】CHANEL 香奈儿炫亮魅力印记唇釉 哑光雾面154,浙江 ,340.0,
chanel香奈儿官方旗舰店,【官方正品】CHANEL香奈儿可可小姐炫光唇膏coco滋润106 60,浙江 ,340.0,
givenchy纪梵希官方旗舰店,【官方正品】GIVENCHY纪梵希美炸红丝绒唇膏N37 哑光 正品,上海,360.0,8000.0
perfectdiary旗舰店,完美日记小酒管水光唇釉联名款新色唇彩唇蜜口红持久保湿镜面学生,广东 ,59.9,75000.0
ysl圣罗兰美妆官方旗舰店,YSL圣罗兰小金条细管口红 哑光新色1966红棕色复古红21持久显色,江苏 ,350.0,35000.0
perfectdiary旗舰店,完美日记哑光唇釉口红女学生雾面丝绒柔雾唇彩唇蜜持久显白,广东 ,39.9,150000.0
ysl圣罗兰美妆官方旗舰店,YSL圣罗兰莹亮纯魅唇膏圆管口红 保湿滋润显色80烂番茄83豆沙色76,江苏 ,335.0,2673.0
3ce官方旗舰店,【官方正品】3CE三熹玉云朵唇釉 哑光雾面口红唇膏晚霞色铁锈红,江苏 ,110.0,10000.0
3c时代科技城,迪奥dior口红999哑光滋润持久经典红888/520正品大牌唇膏礼盒装,广东 ,108.0,3772.0
mac魅可官方旗舰店,【官方正品】MAC/魅可尤雾弹口红唇膏哑光大牌显白316/314/奶茶色,浙江 ,180.0,15000.0
mac魅可官方旗舰店,【官方正品】MAC/魅可全色号子弹头口红唇膏大牌女 豆沙色/小辣椒,浙江 ,175.0,45000.0
dior迪奥官方旗舰店,【官方正品】全新Dior迪奥烈艳蓝金唇膏口红 新色丝绒999720,上海,350.0,35000.0
栀尚旗舰店,栀尚化学元素唇泥丝绒雾面哑光唇颊两用唇彩蜜唇釉学生款平价,广东 ,19.9,4160.0
levercil旗舰店,吃土色口红唇釉哑光豆沙色欧美风肉奶茶色雾面素颜自然深裸色,广东 ,75.0,325.0
3ce官方旗舰店,【官方正品】3CE细管唇膏 丝绒雾面烟管口红fluffy red哑光,江苏 ,125.0,10000.0
宜优奈尔旗舰店,正品ΙYSL小金条口红香水礼盒套装杨树林自由之水N12联名宜优奈尔,广东 ,520.0,785.0
tomford汤姆福特旗舰店,【官方正品】TOM FORD唇膏 TF口红大牌正品黑管16 80 100哑光,上海,450.0,1386.0
媛媛小0728,圣罗兰ysl唇釉水光镜面口红天鹅绒416/610/212/613/211黑管杨树林,浙江 ,128.0,1731.0
衣歌云衫t,圣罗兰1966口红方管哑光唇膏ysl小粉条214杨树林金条21号色礼盒装,上海,138.0,1734.0
诚信珈子,YSL圣罗兰小金条口红21号小银条107杨树林28 30大牌正品送礼盒,广东 ,136.0,2067.0
花知晓旗舰店,花知晓小天使羽毛唇釉哑光口红丝绒唇泥蜜桃显白素颜春夏奶茶色,江苏 ,89.0,15000.0
小小兔丶ck,韩国HERA赫妍赫拉唇釉462Jennie同款422蜜桃色肉桂奶茶色499,上海,82.0,2550.0
浪漫玫瑰园999,ARMANI/阿玛尼405口红挚爱哑光丝绒唇膏红黑管400#406#403礼盒装,上海,138.0,1693.0
colorkey旗舰店,colorkey珂拉琪小金管哑光唇釉空气雾面口红唇蜜唇彩持久学生显白,广东 ,69.0,100000.0
christianlouboutin美妆官方旗舰店,【官方正品】CL路铂廷复古持久丝绒女王权杖经典黑管cl萝卜丁,,880.0,621.0
nars官方旗舰店,【官方正品】NARS 魔方唇膏72色口红 940吉普赛gipsy 哑光,浙江 ,240.0,2057.0
dior迪奥官方旗舰店,【官方正品】全新Dior迪奥烈艳蓝金唇膏口红 传奇丝绒999 720,上海,350.0,1196.0
shirleysong525,Dior迪奥520口红礼物套装999哑光大牌正品套盒唇彩礼盒限量版全套,江苏 ,548.0,518.0
conandanube,chanel58号香奈儿口红70 116 106限量版857山茶花627套装礼盒正品,广东 ,520.0,800.0
joocyee旗舰店,Joocyee酵色丝绸哑光唇釉口红唇彩轻薄不沾杯学生夏平价豆沙色M03,上海,79.0,30000.0
socus海洋主义旗舰店,小细跟口红豆沙奶茶色平价学生不掉色持久沾杯小众大品牌正品小样,广东 ,29.9,15000.0
稚优泉化妆品旗舰店,稚优泉丝绒唇釉哑光雾面唇彩唇蜜口红显白女学生款平价唇油唇泥,上海,49.9,25000.0
锦廊时尚化妆品,长歌行联名LAC烙色轻虹柔雾唇釉丝绒口红4支装套盒,四川 ,396.0,20000.0
zzr404948478,tf口红16号色黑管哑光唇膏100#15#80#08白细管03限量银管07礼盒装,上海,138.0,1781.0
canmake海外旗舰店,CANMAKE/井田日本爱心口红05色小金管唇膏保湿滋润补水女防干裂,广东 ,74.0,10000.0
鱼儿6767,正品阿玛尼口红挚爱哑光唇膏红黑管405/406/402/400/201礼盒装,上海,138.0,1482.0
一生的守护3344,Dior迪奥正品圣诞限量口红礼盒装999正红888哑光滋润520送礼080女,河南 ,238.0,1188.0
tomford汤姆福特旗舰店,【官方正品】TOM FORD唇膏TF口红大牌正品细黑管26 27滋润复古,上海,450.0,1198.0
小范儿008,专柜正品dior迪奥口红080 520 720 772 840 888 999哑光滋润礼物,广东 ,258.0,1031.0
我走在邊緣,纪梵希口红小羊皮306 307 333红丝绒N37 N36新年限定888大牌正品,山东 ,175.0,1409.0
huihuivcc,Dior迪奥口红女哑光999滋润080大牌666官方正品888丝绒520礼盒772,广东 ,68.0,3448.0
gucci古驰美妆官方旗舰店,【官方正品】GUCCI古驰倾色琉光唇膏高光水润细管#25#515#204,江苏 ,350.0,2448.0
